,x00,x01,x02,u00,u01,A000,A001,A002,B000,B001,A010,A011,A012,B010,B011,A020,A021,A022,B020,B021,gain000,gain001,gain002,gain010,gain011,gain012,x10,x11,x12,u10,u11,A100,A101,A102,B100,B101,A110,A111,A112,B110,B111,A120,A121,A122,B120,B121,gain100,gain101,gain102,gain110,gain111,gain112,x20,x21,x22,u20,u21,A200,A201,A202,B200,B201,A210,A211,A212,B210,B211,A220,A221,A222,B220,B221,gain200,gain201,gain202,gain210,gain211,gain212,x30,x31,x32,u30,u31,A300,A301,A302,B300,B301,A310,A311,A312,B310,B311,A320,A321,A322,B320,B321,gain300,gain301,gain302,gain310,gain311,gain312
0,-14.0,0.0,0.0,0.24608475621246936,0.8282749880208491,1.0,0.0,-0.02511641704502856,0.48583456475557385,-0.008342117298629763,0.0,1.0,0.11955648042746655,0.10206409137891934,0.029455722472286575,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9955736270731244,0.0705981765484843,0.09374138063969112,0.12323239141347601,-0.18946926737685454,-0.20279479866249492,-14.0,0.0,0.0,0.006527692963018727,0.2080446079029169,1.0,0.0,-0.00016960340472260414,0.4990987880544349,-5.652172080275687e-05,0.0,1.0,0.00325796364663411,0.02598213575354365,0.0008137558059835371,0.0,0.0,1.0,0.0,0.49999999999999994,-0.8719327023447944,0.3157152679591801,0.011565242778112272,0.01333329413786233,-0.04441694509348434,-0.11907618273441856,-14.0,0.0,0.0,0.059727440791042856,0.09694321577079926,1.0,0.0,-0.0007236295768012111,0.4998042325597417,-0.00024119805165196472,0.0,1.0,0.029852027707324584,0.01211552959941541,0.007461545448121406,0.0,0.0,1.0,0.0,0.49999999999999994,-0.8250000196212979,0.27089591762385823,0.03139712462118636,0.03321391281707235,-0.24955530824449543,-0.15473969914572644,-14.0,0.0,0.0,0.39124339644614364,0.6007667953580798,1.0,0.0,-0.02916058197569071,0.49251606397997905,-0.009701887641298979,0.0,1.0,0.1926936576758132,0.07453309689203863,0.04780844234129876,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9526645505367772,0.1353596800749509,0.12722049348362086,0.16373603706887704,-0.37902630299882634,-0.31385066812728596
1,-13.880443519572534,0.02511641704502856,0.4141374940104246,0.15553288651623692,0.8665087930589043,1.0,0.0,-0.04550642036748806,0.40064259041338657,-0.012501483915303565,0.0,1.0,0.06231309854833644,0.292583911909443,0.01475679071485781,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9586156336292126,-0.34904777595787684,0.0665526701695452,0.10500279338572972,-0.04407426845519737,-0.186655374182505,-13.996742036353366,0.00016960340472260417,0.10402230395145846,0.007148130238953527,0.2591851494944132,1.0,0.0,-0.0006000866839368157,0.49254719094063865,-0.0001690328537757515,0.0,1.0,0.0035207914696743963,0.08395016093392658,0.0008769575853009672,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9305599045320103,0.23186688073713102,0.013859998369012189,0.020146769182844023,-0.03954713727217948,-0.12640612182627503,-13.970147972292676,0.000723629576801211,0.04847160788539963,0.05340814086901991,0.13638432627275376,1.0,0.0,-0.002201962279448422,0.4982000730526216,-0.0006260927761091846,0.0,1.0,0.026607939682550426,0.04122896329322893,0.006645728396893744,0.0,0.0,1.0,0.0,0.49999999999999994,-0.8621667290542521,0.26492144076382174,0.029428799737355613,0.03895814822540276,-0.16657940773066793,-0.15376718687559787,-13.807306342324187,0.029160581975690707,0.3003833976790399,0.27100580972590355,0.6864780927198478,1.0,0.0,-0.061307566362295896,0.443148994198392,-0.01704445078536539,0.0,1.0,0.12009595200195496,0.22622233237103895,0.02914719429878152,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9719551645912096,-0.17406702864871662,0.06854001821451311,0.12633539435501254,-0.13068668852388116,-0.2355213421340295
2,-13.818130421024197,0.07062283741251663,0.8473918905398767,0.06504589639719807,0.90212642197779,1.0,0.0,-0.02833346072291569,0.23676318198048857,-0.007372802119613981,0.0,1.0,0.015400473405773812,0.435591825038423,0.0033176184779924083,0.0,0.0,1.0,0.0,0.49999999999999994,-0.7586710670549728,-0.7330994134787346,0.06950903031553278,0.07774334903617995,0.03307291297835239,-0.19704194148681542,-13.993221244883692,0.0007696900886594198,0.23361487869866504,0.007775362228776478,0.3420718444803264,1.0,0.0,-0.001218248103070846,0.4741756015991845,-0.00033083660665904346,0.0,1.0,0.003686887062481662,0.15668055933936187,0.0009130399270429405,0.0,0.0,1.0,0.0,0.49999999999999994,-0.988867220134679,0.10630139406160807,0.01693281694745523,0.02849258275983271,-0.03458100770482063,-0.13476443507019914,-13.943540032610125,0.0029255918562496324,0.11666377102177651,0.04196687475047824,0.20415158004659292,1.0,0.0,-0.0035009658932050164,0.49277152003972857,-0.0009631971187900573,0.0,1.0,0.020680080662110065,0.08342212552210886,0.005155130005280931,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9103732009401042,0.22372148921163437,0.02665728562326314,0.04055534795206256,-0.10228194702155395,-0.1586355816994552,-13.687210390322232,0.09046814833798658,0.6436224440389637,0.11261512377450066,0.7962661874545967,1.0,0.0,-0.04175327299780458,0.33053874950273743,-0.01105581166129767,0.0,1.0,0.03722366218751944,0.3707607965819129,0.008613281628452077,0.0,0.0,1.0,0.0,0.49999999999999994,-0.856074131550895,-0.5266871820944629,0.04015093760229585,0.045716931242747595,0.0049169310316062136,-0.23388636883942238
3,-13.802729947618422,0.09895629813543232,1.2984551015287717,0.012238317487151302,0.9107163656402216,1.0,0.0,-0.006060470013814675,0.02213160741817423,-0.001520256402112923,0.0,1.0,0.0002708536380846092,0.49520450994815335,-4.7271722111874774e-05,0.0,0.0,1.0,0.0,0.49999999999999994,-0.43200441160939457,-1.0086787536619055,0.09878926320877214,0.09957982819134,0.09435038599114963,-0.22022594754434963,-13.98953435782121,0.001987938191730266,0.4046508009388282,0.008352423563570709,0.4284556775831807,1.0,0.0,-0.0020412533013658887,0.435108003159891,-0.0005427528086507994,0.0,1.0,0.0036342063382908724,0.2443905395637337,0.0008903310444503569,0.0,0.0,1.0,0.0,0.49999999999999994,-1.0225884567951773,-0.0754694756716826,0.020890231804650872,0.039318825169831165,-0.028976346158499536,-0.14438960267567832,-13.922859951948015,0.006426557749454649,0.21873956104507297,0.027411543702851208,0.28335217227883297,1.0,0.0,-0.003910376319384071,0.47878169670721793,-0.0010550681337798719,0.0,1.0,0.013124145403415157,0.14265436349640295,0.00325795273690733,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9576511457832719,0.12744015055995447,0.025491544060958115,0.04210241864100756,-0.06095273715268404,-0.16864541764821694,-13.649986728134712,0.13222142133579115,1.041755537766262,0.0006436976962287048,0.8816788144636014,1.0,0.0,-0.0003041695633533772,0.15064776679816747,-7.782357199732589e-05,0.0,1.0,9.697162042997959e-05,0.4725348018727508,1.86558983834823e-05,0.0,0.0,1.0,0.0,0.49999999999999994,-0.577373462094349,-0.8340014404062118,0.05505103356988991,0.026518817459677754,0.04975827769940788,-0.26409495397384697
4,-13.802459093980337,0.10501676814924699,1.7538132843488825,-7.357059700416788e-05,0.8796102044540144,1.0,0.0,3.356790445583543e-05,-0.1944791270017462,8.129783397203027e-06,0.0,1.0,1.4307945478367854e-05,0.4562679361421215,4.192117317524508e-06,0.0,0.0,1.0,0.0,0.49999999999999994,-0.034121737719717354,-1.1151247951105812,0.13856388649707116,0.15413434401288761,0.21755079895846413,-0.2585230738606327,-13.98590015148292,0.004029191493096155,0.6188786397304186,0.008709003796097669,0.4924806656766501,1.0,0.0,-0.0029351846992726827,0.36762969255981204,-0.0007666455000713182,0.0,1.0,0.0032016883880616217,0.3370287541484229,0.0007703070998083087,0.0,0.0,1.0,0.0,0.49999999999999994,-1.0006970035479354,-0.3008717718325408,0.025925287079388206,0.053637593773577345,-0.02138594622895226,-0.1556011392373164,-13.9097358065446,0.01033693406883872,0.3604156471844895,0.01278474506888901,0.357398692604944,1.0,0.0,-0.0027754155263321595,0.44967585838681734,-0.0007366597402320489,0.0,1.0,0.005748991213109296,0.21708806169987574,0.001416582604756663,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9829348465784008,-0.02548378874468723,0.02903394443514079,0.05087645198272714,-0.04129073045675978,-0.18291457949984383,-13.649889756514282,0.13252559089914454,1.4825949449980627,2.040306772813495e-06,0.9231980016360741,1.0,0.0,-1.0008735983905586e-06,-0.0704296102718609,-2.4745465768377117e-07,0.0,1.0,-1.4369801084429267e-07,0.49055054451953684,-5.517429119529719e-08,0.0,0.0,1.0,0.0,0.49999999999999994,-0.16383397509937217,-0.9879166537281652,0.09715041297362287,0.0655757518844356,0.10843657969459292,-0.30813742689670137
5,-13.802444786034858,0.10498320024479114,2.19361838657589,-0.00018896583476840092,0.7882635586124935,1.0,0.0,6.405008295540344e-05,-0.36317641658653793,1.4885511474459236e-05,0.0,1.0,6.862793472847166e-05,0.3389505993710667,1.8208815376622404e-05,0.0,0.0,1.0,0.0,0.49999999999999994,0.36099990295569184,-0.9892625953490114,0.15942358007339077,0.18462313012356021,0.4330197438272319,-0.3226607017039877,-13.982698463094858,0.006964376192368837,0.8651189725687436,0.008719350843419503,0.5191552895186764,1.0,0.0,-0.003646246652656269,0.27152672424382485,-0.0009371682735144651,0.0,1.0,0.0023675367720463296,0.4181786830390123,0.0005524474170432365,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9010781943001862,-0.5354503260967871,0.03219131877601458,0.0722785121525026,-0.009541763299578364,-0.168848318674451,-13.903986815331491,0.01311234959517088,0.5391149934869615,0.0019982522496479536,0.41495380342720206,1.0,0.0,-0.0005978845360692917,0.39947706615771683,-0.00015637194917483832,0.0,1.0,0.0007982559461324221,0.29920373475101825,0.00019439535523265472,0.0,0.0,1.0,0.0,0.49999999999999994,-0.9623594023180654,-0.22064691115941354,0.039213721219653906,0.07567941412582851,-0.03581960629508848,-0.20144685204142398,-13.649889900212294,0.13252659177274292,1.9441939458160995,2.0730818654052035e-06,0.9129909408100828,1.0,0.0,-8.4714241640398e-07,-0.2805532465852972,-2.0072317773363747e-07,0.0,1.0,-5.816098477765338e-07,0.4086391524332774,-1.6151541230073583e-07,0.0,0.0,1.0,0.0,0.49999999999999994,0.28647044651755016,-0.9072943717063395,0.1399791946986836,0.09587905648539613,0.23710093338988952,-0.37683998774232447
6,-13.80237615810013,0.10491915016183574,2.5877501658821367,0.0351309880753042,0.6129598873048774,1.0,0.0,-0.006823315330349218,-0.4586146805453162,-0.0015000845381019626,0.0,1.0,-0.01611158687339695,0.19422497641464742,-0.004115030171417832,0.0,0.0,1.0,0.0,0.49999999999999994,0.6429109009944005,-0.6358628701548119,0.1279095998379672,0.1498890450323684,0.6766344113445121,-0.4130332466894931,-13.98033092632281,0.010610622845025106,1.1246966173280817,0.008411980723144917,0.5089099071901333,1.0,0.0,-0.0039832041766350796,0.1563256168134447,-0.0010097431204394226,0.0,1.0,0.0013150080751684358,0.4735156091924462,0.00028652099563664525,0.0,0.0,1.0,0.0,0.49999999999999994,-0.7258179860601794,-0.7371599587650979,0.03985893345781716,0.09527749096471022,0.009706073129236888,-0.18478100986235413,-13.903188559385358,0.013710234131240171,0.7465918952005625,-3.083212668877384e-08,0.4524440230903436,1.0,0.0,1.1655080992079819e-08,0.32563618589074866,3.0084068991413354e-09,0.0,1.0,-1.0040056137832673e-08,0.37801742026194707,-2.4001543067338767e-09,0.0,0.0,1.0,0.0,0.49999999999999994,-0.8784421960694141,-0.43153937057434816,0.0560116935392529,0.12103486533755797,-0.030177137828527233,-0.22558025413535665,-13.649890481822142,0.13252743891515933,2.400689416221141,0.024331264715795744,0.838739290845792,1.0,0.0,-0.0061179210615432715,-0.4279477520679861,-0.001347536786216305,0.0,1.0,-0.010412510040095895,0.25144278906190787,-0.0027100292886475044,0.0,0.0,1.0,0.0,0.49999999999999994,0.6304988259766223,-0.6104179597792713,0.15774901360515634,0.06881579972314349,0.4290414676313416,-0.4892816900658321
7,-13.818487744973526,0.11174246549218496,2.8942301095345755,0.0931756291386419,0.35789255770873046,1.0,0.0,-0.0073154314401159,-0.4931222875236812,-0.001486272941074845,0.0,1.0,-0.045946979382305256,0.07851228382081336,-0.011541289377572074,0.0,0.0,1.0,0.0,0.49999999999999994,0.7577725241223517,-0.2371188928847194,0.04864567684681571,0.08614573370680921,0.8372943122298181,-0.4955240542613039,-13.979015918247642,0.014593827021660184,1.3791515709231483,0.007913302466311457,0.4765490787579324,1.0,0.0,-0.003936930784552108,0.03613639912985386,-0.0009870717167807792,0.0,1.0,0.0002859582563578878,0.4975079369596229,3.240334252417712e-05,0.0,0.0,1.0,0.0,0.49999999999999994,-0.502627727179604,-0.87702791254068,0.04935980594601934,0.12150093347126811,0.039985289975271926,-0.20436704357533095,-13.903188569425414,0.01371022247615918,0.9728139067457342,1.2500688914461938e-08,0.4739315077697546,1.0,0.0,-5.532508011220231e-09,0.23012854586945758,-1.4115309246893112e-09,0.0,1.0,2.876765362251574e-09,0.44257624912333604,6.645657783127587e-10,0.0,0.0,1.0,0.0,0.49999999999999994,-0.727075207128555,-0.6267346788993511,0.07786741717632305,0.1870637968843526,-0.009297858802438939,-0.25788185448075085,-13.660302991862238,0.1386453599767026,2.820059061644037,0.15027365044169502,0.6852136843717469,1.0,0.0,-0.011190541866636483,-0.4919563728599997,-0.0017422961147536796,0.0,1.0,-0.07392808000772778,0.0744677582113993,-0.018641767410491353,0.0,0.0,1.0,0.0,0.49999999999999994,0.7824755199690349,-0.24310087800583574,0.12629395689384626,-0.03372798811027662,0.6058323596142974,-0.649666026031571
8,-13.864434724355831,0.11905789693230086,3.0731763883889407,0.15069164858316428,0.08670145402168526,1.0,0.0,-0.003520173925275568,-0.4994148139658618,-0.0007441070865538666,0.0,1.0,-0.07525764164337001,0.023360112908532165,-0.018820768831620757,0.0,0.0,1.0,0.0,0.49999999999999994,0.7812957933678687,0.004994645722943066,-0.019662729259586433,0.06014165134661102,0.9029060532121975,-0.5392912804491038,-13.978729959991284,0.018530757806212293,1.6174261103021146,0.007286475376802199,0.44444884772489207,1.0,0.0,-0.0035906092628541966,-0.07838286850483989,-0.000892363982237365,0.0,1.0,-0.0005711348413236405,0.49277724512533805,-0.00017603039358462697,0.0,0.0,1.0,0.0,0.49999999999999994,-0.2650124676129191,-0.9498545244103737,0.06141672353803885,0.14908818126136286,0.08533467549916872,-0.22911953815030012,-13.903188566548648,0.01371022800866719,1.2097796606306115,0.013185561044132882,0.48830317213154184,1.0,0.0,-0.006389584421121792,0.1180433072397341,-0.0016132300000310357,0.0,1.0,0.0015564672334608465,0.48458949905396226,0.00032411575659293667,0.0,0.0,1.0,0.0,0.49999999999999994,-0.5178260001058614,-0.778403220066902,0.10338792859532198,0.26596635328478047,0.04092727793601881,-0.3024426982040439,-13.734231071869965,0.1498359018433391,3.1626659038299105,0.3258346929019778,0.45236417510758214,1.0,0.0,0.02174577381935165,-0.4944516359436185,0.006954778837354684,0.0,1.0,-0.1611094969525695,-0.06673866931012629,-0.04007243673641429,0.0,0.0,1.0,0.0,0.49999999999999994,0.7896623765027436,0.047113976766949776,0.05155999250106486,-0.14545921874371567,0.7091728490636262,-0.8072895597058655
9,-13.939692365999202,0.12257807085757642,3.116527115399783,0.195983491617894,-0.09941787717149829,1.0,0.0,-0.004889213818211472,-0.49932571563529005,-0.001424990816934795,0.0,1.0,-0.0978595972048078,0.024947069663111714,-0.02445477273333083,0.0,0.0,1.0,0.0,0.49999999999999994,0.7853475135268756,0.03863449980426047,-0.03296500673216771,0.07467193728942409,0.9038916717766157,-0.538230995167671,-13.979301094832607,0.02212136706906649,1.8396505341645606,0.006422176011575088,0.4315064202028811,1.0,0.0,-0.0029801160010053404,-0.18358483759052446,-0.0007344300046754593,0.0,1.0,-0.001179014140062775,0.4640352422035914,-0.0003215439145683686,0.0,0.0,1.0,0.0,0.49999999999999994,-0.02960954543587796,-0.9616507216658341,0.07618134238214329,0.17585111436475392,0.15105363197344945,-0.261544534274401,-13.901632099315187,0.020099812429788984,1.4539312466963825,0.04685486393265865,0.5041299495805099,1.0,0.0,-0.023364511236779583,-0.004571520933918936,-0.005838878153550761,0.0,1.0,-0.00021419799132407232,0.49865711424025966,-0.000298939775542569,0.0,0.0,1.0,0.0,0.49999999999999994,-0.26855063680060776,-0.8669685998474245,0.12881767695845847,0.33443351564086643,0.12941715589155253,-0.3618718768967978,-13.895340568822535,0.12809012802398745,3.3888479913837015,0.495174865153035,0.17133635663108696,1.0,0.0,0.07079774065965834,-0.4789626640022757,0.018546016199114827,0.0,1.0,-0.23717027256066525,-0.1429752308566351,-0.05903985508359485,0.0,0.0,1.0,0.0,0.49999999999999994,0.7546330900672482,0.2153323315984931,-0.0400339939215559,-0.18631093094893808,0.7634096708933005,-0.9039717305530285
