,x00,x01,x02,u00,u01,A000,A001,A002,B000,B001,A010,A011,A012,B010,B011,A020,A021,A022,B020,B021,gain000,gain001,gain002,gain010,gain011,gain012,x10,x11,x12,u10,u11,A100,A101,A102,B100,B101,A110,A111,A112,B110,B111,A120,A121,A122,B120,B121,gain100,gain101,gain102,gain110,gain111,gain112,x20,x21,x22,u20,u21,A200,A201,A202,B200,B201,A210,A211,A212,B210,B211,A220,A221,A222,B220,B221,gain200,gain201,gain202,gain210,gain211,gain212,x30,x31,x32,u30,u31,A300,A301,A302,B300,B301,A310,A311,A312,B310,B311,A320,A321,A322,B320,B321,gain300,gain301,gain302,gain310,gain311,gain312,x40,x41,x42,u40,u41,A400,A401,A402,B400,B401,A410,A411,A412,B410,B411,A420,A421,A422,B420,B421,gain400,gain401,gain402,gain410,gain411,gain412
9,4.329719874383374,0.3141149947458954,2.6314604582115346,0.6230984429225244,0.017787917819710845,1.0,0.0,-0.15091612948214697,-0.4374199365056989,-0.03762802824426674,0.0,1.0,-0.2725556813399704,0.24220270680553085,-0.06819484707892784,0.0,0.0,1.0,0.0,0.49999999999999994,0.6826339515628208,-0.362973225692431,0.06927758698099858,0.298081472132479,0.6859433480264369,-0.9067866490721669,3.81758490709186,-0.29206989088492474,2.638448731060727,0.5791203664362725,-0.10172127030754885,1.0,0.0,-0.14601023578191677,-0.43171694676516115,-0.037032391296111994,0.0,1.0,-0.2500160764073889,0.25212415975010266,-0.062194595213782004,0.0,0.0,1.0,0.0,0.49999999999999994,0.677629207179687,-0.3737331622775898,0.018099619483122716,0.3780073900181215,0.6867358911849624,-0.8535370104130056,3.587714755323704,-1.0702058752092252,2.5375532530805254,0.5662248004211139,0.030016701126660942,1.0,0.0,-0.15904524650037496,-0.4136396258210213,-0.03961484699887705,0.0,1.0,-0.23421301457677202,0.2808871077036709,-0.058652712261479126,0.0,0.0,1.0,0.0,0.49999999999999994,0.6386854117473711,-0.43656558688046465,0.0055399579545113604,0.4199547540207625,0.6281865583307262,-0.8926315052846466,2.8940691542182337,-1.7516134672385895,2.4886891371729156,0.5458366026754741,-0.007327050307378249,1.0,0.0,-0.16619331167141668,-0.39660435698877305,-0.04158137309407382,0.0,1.0,-0.2164811748250428,0.30447447250111687,-0.05409492481552391,0.0,0.0,1.0,0.0,0.49999999999999994,0.6055008663951411,-0.47923218930353084,-0.043894620760232296,0.48966299794338547,0.5630828814420092,-0.8428530885317768,2.4381796750921594,-2.3580055496673675,2.3701915718883884,0.5710321404634888,-0.04307532650468825,1.0,0.0,-0.20123365651413042,-0.35468604965202344,-0.050490171486472626,0.0,1.0,-0.20253713412533422,0.3524033802209371,-0.05045369591763708,0.0,0.0,1.0,0.0,0.49999999999999994,0.5353964048941598,-0.5540643048217087,-0.054890413131118594,0.5501040914395801,0.4720498594225475,-0.8722298988616841
10,4.057164193043403,0.4650311242280423,2.64035441712139,0.67104216183462,0.24046293601232557,1.0,0.0,-0.1431660728014245,-0.4518642401621805,-0.03427249412279962,0.0,1.0,-0.30321995657418754,0.21334884891585715,-0.07652220022071872,0.0,0.0,1.0,0.0,0.49999999999999994,0.6931925857299543,-0.33593609541968655,0.12455451002889345,0.18647719092281848,0.6898482285960909,-0.8237739123983469,3.567568830684471,-0.146059655103008,2.5875880959069524,0.5597183628338174,0.015075068401899908,1.0,0.0,-0.1463347260689024,-0.42619961788804706,-0.03650876101755296,0.0,1.0,-0.23855175236469622,0.2614434969187348,-0.0596838965496128,0.0,0.0,1.0,0.0,0.49999999999999994,0.6520369579511804,-0.407265182878267,0.07515310393548591,0.31744464638132897,0.659815087572551,-0.72618251032599,3.3535017407469323,-0.9111606287088502,2.5525616036438556,0.6322412425845503,0.01821173605599977,1.0,0.0,-0.17442344102679236,-0.41699863752117106,-0.04350583087864894,0.0,1.0,-0.2636437367424496,0.27588114991322565,-0.06597711238706973,0.0,0.0,1.0,0.0,0.49999999999999994,0.6396872397643565,-0.42484637167167255,0.001224220484469811,0.4098354150099945,0.6216340412952835,-0.8268238078975921,2.677587979393191,-1.5854201555671728,2.4850256120192267,0.5599874858652444,-0.11774647751953277,1.0,0.0,-0.17733640897622774,-0.38683596344299354,-0.04486549037434158,0.0,1.0,-0.2166232986107015,0.3166792356122437,-0.053720809290054475,0.0,0.0,1.0,0.0,0.49999999999999994,0.5956146628188282,-0.483794209410498,-0.08572939479296617,0.5166437271006966,0.4947292573242692,-0.7671590119690714,2.235642540966825,-2.156771893153237,2.3486539086360443,0.6004853222773061,-0.17093447142151946,1.0,0.0,-0.22263650699801701,-0.3352375068580854,-0.05637600170199614,0.0,1.0,-0.20130520234511806,0.3707609474178001,-0.049533461983412505,0.0,0.0,1.0,0.0,0.49999999999999994,0.5089248094249994,-0.5709267076859641,-0.09898280386280721,0.5847161159638514,0.3919063353468496,-0.8236994538419181
11,3.7539442364692155,0.6081971970294668,2.760585885127553,0.6288138716893296,0.4907367598876381,1.0,0.0,-0.08011689691453018,-0.48219877879411516,-0.016929271822986897,0.0,1.0,-0.30321328101739414,0.12740955713857496,-0.0766224089383591,0.0,0.0,1.0,0.0,0.49999999999999994,0.7293736125208715,-0.2144337997900829,0.14475973146335908,0.017042807001350486,0.6387946532365962,-0.6735590258939068,3.329017078319775,0.00027507096589441874,2.595125630107902,0.5245306511564345,0.24916619197050172,1.0,0.0,-0.12200001614344468,-0.4422434302413749,-0.029295855387369975,0.0,1.0,-0.23197023443416365,0.23258891710993596,-0.058625856043935484,0.0,0.0,1.0,0.0,0.49999999999999994,0.6578556078285833,-0.3784487063606738,0.11302347441937051,0.1853093244386312,0.5916566733322318,-0.5529675672149421,3.0898580040044825,-0.7367371876820578,2.5616674716718557,0.524871266230217,0.002822002344513449,1.0,0.0,-0.1436496594437428,-0.418444979548022,-0.035899502451375714,0.0,1.0,-0.21962974626304757,0.27368550859237883,-0.054915881975673125,0.0,0.0,1.0,0.0,0.49999999999999994,0.6299949439838045,-0.4121454716995686,-0.002342311810250606,0.3735107084860652,0.5668145514966096,-0.6679351234051166,2.460964680782489,-1.408083746590945,2.4261523732594603,0.5530896501347157,-0.29754895902350054,1.0,0.0,-0.19622989099882873,-0.3516594481840889,-0.050263160770244494,0.0,1.0,-0.19449920116270492,0.3547885789420091,-0.04740838383531654,0.0,0.0,1.0,0.0,0.49999999999999994,0.5431159395978143,-0.525462827286642,-0.11332149517363879,0.5317003419131834,0.36674253155360687,-0.6387320984591713,2.034337338621707,-1.9341353861552202,2.2631866729252845,0.6362327277781515,-0.3744136812742789,1.0,0.0,-0.26238703151007675,-0.2814091998189303,-0.06699333390695812,0.0,1.0,-0.17904174282266497,0.4124073158361144,-0.042713742946394115,0.0,0.0,1.0,0.0,0.49999999999999994,0.4290036913093105,-0.6189256622697082,-0.128876994955025,0.6033676890721005,0.2520001443272498,-0.7206603511598351
12,3.4507309554518213,0.688314093943997,3.005954265071372,0.5677321117159536,0.6735121234087408,1.0,0.0,0.009248210014215687,-0.4973762958220585,0.006274201262722668,0.0,1.0,-0.2823764947445161,-0.016289742685618475,-0.07046435798496643,0.0,0.0,1.0,0.0,0.49999999999999994,0.7201106678144723,0.007681082760695621,0.11150279703947226,-0.13268528679445413,0.522514697519467,-0.5058601114502627,3.0970468438856114,0.12227508710933908,2.719708726093153,0.45489753080330864,0.5077511598096768,1.0,0.0,-0.06593937780079656,-0.47712584143587566,-0.014188930655725605,0.0,1.0,-0.2170433671516308,0.14495435419126915,-0.05495835735393781,0.0,0.0,1.0,0.0,0.49999999999999994,0.6814924258459293,-0.23353133567006704,0.10353172300465825,0.03806126418243497,0.4844014791628599,-0.38448489421970156,2.870228257741435,-0.593087528238315,2.5630784728441123,0.5640441878869857,-0.011377897483516308,1.0,0.0,-0.1548750146168919,-0.41785808780917466,-0.03877462160219147,0.0,1.0,-0.23569042579033467,0.2745795771729915,-0.05888589494676974,0.0,0.0,1.0,0.0,0.49999999999999994,0.596697323940163,-0.39136472930954974,-0.00350972286924961,0.312270366446376,0.46880864564302366,-0.4898171375773557,2.2664654796197845,-1.2118538555921163,2.27737789374771,0.5528279752060775,-0.4935052564155172,1.0,0.0,-0.23013866141704006,-0.27465342869942594,-0.059095744860039226,0.0,1.0,-0.15183609887131042,0.41629344341926855,-0.03559288945423591,0.0,0.0,1.0,0.0,0.49999999999999994,0.4089203672097286,-0.5901628434301647,-0.10154689757113097,0.4952659208699306,0.20260555152964224,-0.4718309299311922,1.855295595799042,-1.6717483546451435,2.0759798322881453,0.6466296674197611,-0.584838817051362,1.0,0.0,-0.3016294607037763,-0.17503208591665495,-0.0767863743070452,0.0,1.0,-0.11318093950407364,0.4664639992584392,-0.024620148043004032,0.0,0.0,1.0,0.0,0.49999999999999994,0.2600549175714645,-0.6675768911623945,-0.11582501006931836,0.5512686500397067,0.07821822647292763,-0.5505650067612743
13,3.168354460707305,0.6790658839297813,3.3427103267757423,0.63660032703148,0.6519153924858532,1.0,0.0,0.11284765423020665,-0.4651591082371889,0.03223367843394516,0.0,1.0,-0.29612044042546604,-0.17726609528528617,-0.07249746774127223,0.0,0.0,1.0,0.0,0.49999999999999994,0.5784830288480497,0.21745309695658438,0.040414058298173655,-0.1799192683575601,0.3443765888476052,-0.31746676534520274,2.8800034767339806,0.18821446491013566,2.973584305997991,0.5240466485669584,0.6675897326378757,1.0,0.0,-0.00028973721442117264,-0.49768384656916215,0.0035549204042072216,0.0,1.0,-0.2608095518404817,0.0005528843953367098,-0.06520641764247424,0.0,0.0,1.0,0.0,0.49999999999999994,0.6171627710821582,-0.008280255720174953,0.05188168318179484,-0.055255425455554605,0.3339248992176626,-0.23616429339352948,2.6345378319511004,-0.4382125136214231,2.557389524102354,0.6642747182778496,-0.02388194956014716,1.0,0.0,-0.1848350958665025,-0.4154195683920118,-0.04634607165126351,0.0,1.0,-0.2759527167607094,0.2782509867990951,-0.06889621622275241,0.0,0.0,1.0,0.0,0.49999999999999994,0.5117584351571056,-0.3424026341054717,-0.0018223575655600098,0.202133199256189,0.29823129302374385,-0.2594821730430409,2.114629380748474,-0.9817151941750762,2.0306252655399515,0.6463428983852251,-0.6192056395390015,1.0,0.0,-0.3070247495406669,-0.14956118856838307,-0.07800320952915106,0.0,1.0,-0.09666781210522792,0.47501836920884355,-0.020206310356421283,0.0,0.0,1.0,0.0,0.49999999999999994,0.19098997394143175,-0.5865964696827224,-0.04849386966216326,0.35972347042518005,0.05784130027038018,-0.27378713906102725,1.7421146562949683,-1.3701188939413673,1.7835604237624643,0.6974964373617015,-0.6959472142389065,1.0,0.0,-0.34673228583180926,-0.01928623871453599,-0.08687811086864582,0.0,1.0,-0.013452082793496179,0.4971097589305734,0.0016641904580833057,0.0,0.0,1.0,0.0,0.49999999999999994,0.02712492303811385,-0.6156949454319631,-0.05574098658798491,0.3908749636000793,-0.04657286877508531,-0.3311023977639016
14,2.872234020281839,0.5662182296995746,3.668668023018669,1.216275968028731,0.23415059412572414,1.0,0.0,0.3359322546275862,-0.41644880481596147,0.08645392141163138,0.0,1.0,-0.5065166732119416,-0.27619739554013023,-0.12499044472228145,0.0,0.0,1.0,0.0,0.49999999999999994,0.3314387786689016,0.22002589765744315,-0.00010580951266160665,-0.08349987592468157,0.1217258987550609,-0.08970649886164907,2.619193924893499,0.18850420212455682,3.307379172316929,1.0590206107971227,0.5909809186495811,1.0,0.0,0.1627185714373266,-0.4738978906315533,0.046858672191903566,0.0,1.0,-0.5018676335920957,-0.15365005154606828,-0.12346350598956608,0.0,0.0,1.0,0.0,0.49999999999999994,0.37570119032629146,0.12215751119598564,-0.0001733400922319713,-0.044303200402491735,0.12022338247662563,-0.06754517794557659,2.3585851151903907,-0.2533774177549206,2.5454485493222805,0.9761525496182105,-0.021756902685206983,1.0,0.0,-0.276224694902225,-0.4122182501132904,-0.0692385636066315,0.0,1.0,-0.40238789584724566,0.2829728765347804,-0.10047176992418203,0.0,0.0,1.0,0.0,0.49999999999999994,0.32642667594607294,-0.22409268753571035,5.0760410973249156e-06,0.06733796534341413,0.09778892364984837,-0.057949488156950606,2.017961568643246,-0.6746904446344093,1.7210224457704508,1.0718568128868373,-0.5464412112979175,1.0,0.0,-0.5342145248388157,-0.006786555999781715,-0.13363644212323397,0.0,1.0,-0.007274216284404073,0.4984010162700865,0.00426303480298437,0.0,0.0,1.0,0.0,0.49999999999999994,0.005069197192818667,-0.3951573016935853,0.00016642090920476884,0.1296440017193747,-0.0029738352871555834,-0.0692360764556454,1.7286625735014722,-1.0233866081095582,1.435586816643011,1.2239571615019034,-0.540835655855146,1.0,0.0,-0.5879446484007076,0.13316099132688883,-0.14514976538330165,0.0,1.0,0.1629833489672384,0.48036374710961927,0.04737043802998254,0.0,0.0,1.0,0.0,0.49999999999999994,-0.10595753825293656,-0.38073302042266843,0.00024402484262884148,0.14044118577711306,-0.04446019455382544,-0.08981791499682064
15,2.3657173470698973,0.23028597507198836,3.785743320081531,,,1.0,0.0,0.0,-0.39980504831912933,0.0,0.0,1.0,0.0,-0.3002597597723322,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,,,,,,,2.117326291301403,0.02578563068723021,3.6028696316417195,,,1.0,0.0,0.0,-0.4477424275533136,0.0,0.0,1.0,0.0,-0.22254599203010972,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,,,,,,,1.9561972193431452,0.02284727714730441,2.534570097979677,,,1.0,0.0,0.0,-0.4106750315857984,0.0,0.0,1.0,0.0,0.28521223401530915,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,,,,,,,2.010687352358842,-0.14047591979559362,1.447801840121492,,,1.0,0.0,0.0,0.06134230917443003,0.0,0.0,1.0,0.0,0.4962228542753232,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,,,,,,,1.8916459224687106,-0.4354419597088504,1.165168988715438,,,1.0,0.0,0.0,0.19729763536599076,0.0,0.0,1.0,0.0,0.45942751667590453,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,,,,,,
